"zip","renter","hs_graduate","college_graduate","median_household_income"
"00601","","","","10816.0"
"00602","","","","16079.0"
"00603","","","","16804.0"
"00606","","","","12512.0"
"00610","","","","17475.0"
"00612","","","","17229.0"
"00616","","","","13705.0"
"00617","","","","15361.0"
"00622","","","","15689.0"
"00623","","","","16593.0"
"00624","","","","15573.0"
"00627","","","","17532.0"
"00631","","","","7854.0"
"00637","","","","14767.0"
"00638","","","","12722.0"
"00641","","","","16022.0"
"00646","","","","26861.0"
"00647","","","","13764.0"
"00650","","","","14611.0"
"00652","","","","17500.0"
"00653","","","","13593.0"
"00656","","","","15037.0"
"00659","","","","18687.0"
"00660","","","","20598.0"
"00662","","","","16016.0"
"00664","","","","15922.0"
"00667","","","","13222.0"
"00669","","","","12009.0"
"00670","","","","14031.0"
"00674","","","","18135.0"
"00676","","","","14374.0"
"00677","","","","16792.0"
"00678","","","","15347.0"
"00680","","","","14567.0"
"00682","","","","15363.0"
"00683","","","","14913.0"
"00685","","","","14343.0"
"00687","","","","16536.0"
"00688","","","","14213.0"
"00690","","","","20274.0"
"00692","","","","17987.0"
"00693","","","","17156.0"
"00694","","","","11198.0"
"00698","","","","14766.0"
"00703","","","","14680.0"
"00704","","","","13756.0"
"00705","","","","17238.0"
"00707","","","","19541.0"
"00714","","","","15349.0"
"00715","","","","12027.0"
"00716","","","","18331.0"
"00717","","","","11664.0"
"00718","","","","18614.0"
"00719","","","","17686.0"
"00720","","","","14144.0"
"00723","","","","13284.0"
"00725","","","","19961.0"
"00727","","","","29995.0"
"00728","","","","16949.0"
"00729","","","","20574.0"
"00730","","","","15097.0"
"00731","","","","15141.0"
"00735","","","","20925.0"
"00736","","","","20760.0"
"00738","","","","19708.0"
"00739","","","","23266.0"
"00740","","","","13750.0"
"00741","","","","21690.0"
"00745","","","","22577.0"
"00751","","","","15091.0"
"00754","","","","16571.0"
"00757","","","","15674.0"
"00765","","","","17934.0"
"00766","","","","17611.0"
"00767","","","","15666.0"
"00769","","","","18390.0"
"00771","","","","18827.0"
