"zip","renter","mortgage","hs_graduate","college_graduate","median_income","household_size"
"00601","","0.2044957852013737","","","","3.0"
"00602","","0.22709324693732916","","","","3.1"
"00603","","0.3013054830287206","","","","2.71"
"00606","","0.16210374639769454","","","","3.29"
"00610","","0.2714862794261039","","","","3.0"
"00612","","0.39268038551706175","","","","2.79"
"00616","","0.2345301757066463","","","","2.93"
"00617","","0.4148250460405157","","","","2.96"
"00622","","0.34967555875991346","","","","2.89"
"00623","","0.48485549132947975","","","","2.94"
"00624","","0.25317662007623887","","","","2.99"
"00627","","0.3569191509105672","","","","2.84"
"00631","","","","","","2.53"
"00637","","0.2727442207307979","","","","3.42"
"00638","","0.2613914747672709","","","","3.0"
"00641","","0.26226597805035506","","","","3.08"
"00646","","0.47295754178345273","","","","3.1"
"00647","","0.15899280575539568","","","","3.19"
"00650","","0.27028479312197745","","","","2.94"
"00652","","0.30177514792899407","","","","2.65"
"00653","","0.18900602409638553","","","","3.4"
"00656","","0.22364152473641524","","","","3.08"
"00659","","0.32110700407544307","","","","2.89"
"00660","","0.3903087303209978","","","","2.6"
"00662","","0.3948587819947043","","","","2.89"
"00664","","0.28823178016726403","","","","3.26"
"00667","","0.2824702886247878","","","","2.93"
"00669","","0.24729241877256317","","","","2.82"
"00670","","0.21435546875","","","","2.92"
"00674","","0.3812472743131269","","","","2.6"
"00676","","0.23796360285648469","","","","3.13"
"00677","","0.2880134518376171","","","","2.72"
"00678","","0.3780316344463972","","","","2.79"
"00680","","0.24279657350523492","","","","2.65"
"00682","","0.34786503433860855","","","","2.76"
"00683","","0.2405693950177936","","","","2.69"
"00685","","0.27865839650815527","","","","2.94"
"00687","","0.35962145110410093","","","","3.29"
"00688","","0.2692793931731985","","","","2.82"
"00690","","0.4745972738537794","","","","2.59"
"00692","","0.3776093294460641","","","","3.04"
"00693","","0.3355790608367581","","","","3.27"
"00694","","","","","","1.57"
"00698","","0.2607732085693179","","","","3.75"
"00703","","0.2677954956435969","","","","3.12"
"00704","","0.3511705685618729","","","","2.62"
"00705","","0.30587216851825133","","","","2.87"
"00707","","0.2754491017964072","","","","2.86"
"00714","","0.43439490445859874","","","","3.03"
"00715","","","","","","2.79"
"00716","","0.3937517203413157","","","","2.6"
"00717","","0.3708100558659218","","","","2.47"
"00718","","0.36534264513312964","","","","3.04"
"00719","","0.30832597822889085","","","","3.45"
"00720","","0.21036647094553554","","","","3.3"
"00723","","0.3125922801096815","","","","2.87"
"00725","","0.453688160363385","","","","2.71"
"00727","","0.5408886864875415","","","","2.73"
"00728","","0.37489935587761675","","","","2.86"
"00729","","0.44642440277021245","","","","3.21"
"00730","","0.2993892558893182","","","","2.74"
"00731","","0.16303424851401074","","","","3.01"
"00735","","0.3668848881614839","","","","2.8"
"00736","","0.3815898198644852","","","","2.85"
"00738","","0.5198978999883977","","","","2.7"
"00739","","0.3955192629815745","","","","3.0"
"00740","","","","","","2.68"
"00741","","0.5559729526671675","","","","3.35"
"00745","","0.4691058144830727","","","","3.09"
"00751","","0.252863436123348","","","","2.71"
"00754","","0.3479253112033195","","","","2.91"
"00757","","0.4308170668509242","","","","2.96"
"00765","","0.09258446687143485","","","","3.32"
"00766","","0.20536149471974005","","","","3.05"
"00767","","0.2628138974888201","","","","2.97"
"00769","","0.3596390168970814","","","","2.93"
"00771","","0.39145750770585647","","","","2.99"
"00772","","0.2322994652406417","","","","3.14"
"00773","","0.4233749461902712","","","","2.86"
"00775","","","","","","3.02"
"00777","","0.4942694889003614","","","","3.08"
"00778","","0.6006825938566553","","","","3.03"
"00780","","0.4873758865248227","","","","2.94"
"00782","","0.2642727977266856","","","","3.09"
"00783","","0.3326123527998077","","","","3.21"
"00784","","0.3390132010111413","","","","2.76"
"00786","","","","","","2.22"
"00791","","0.3832018927444795","","","","2.98"
"00794","","0.28937674966848387","","","","3.17"
"00795","","0.34512629533678757","","","","2.92"
"00901","","0.4849056603773585","","","","1.94"
"00906","","","","","","1.43"
"00907","","0.5042168674698795","","","","2.02"
"00909","","","","","","2.16"
"00911","","0.5308641975308642","","","","1.92"
"00912","","0.5171363290175172","","","","2.31"
"00913","","","","","","2.49"
"00915","","0.28837025316455694","","","","2.53"
"00917","","0.350076103500761","","","","2.3"
"00918","","0.5983323749281196","","","","2.09"
"00920","","0.503001200480192","","","","2.47"
"00921","","0.5340790454884414","","","","2.62"
"00923","","0.4646557679023716","","","","2.49"
"00924","","0.5314099581200559","","","","2.7"
"00925","","","","","","1.97"
"00926","","0.5549882607237357","","","","2.72"
"00927","","0.47899910634495085","","","","2.42"
"00934","","","","","","1.43"
"00936","","","","","",""
"00949","","0.5100637454198664","","","","2.93"
"00950","","","","","",""
"00951","","","","","",""
"00952","","0.3306080735820133","","","","3.0"
"00953","","0.5683744735298821","","","","3.28"
"00956","","0.48199270188798987","","","","2.78"
"00957","","0.5161529892313406","","","","2.81"
"00959","","0.5700737618545838","","","","2.54"
"00960","","","","","",""
"00961","","0.5503330400904863","","","","2.53"
"00962","","0.45286195286195285","","","","2.86"
"00965","","0.27345082433200685","","","","2.82"
"00966","","0.6268894192521878","","","","2.49"
"00968","","0.5787985865724382","","","","1.85"
"00969","","0.6240687679083095","","","","2.73"
"00971","","0.3269043985014569","","","","2.8"
"00976","","0.5846059865607819","","","","2.83"
"00979","","0.5530245022970903","","","","1.96"
"00982","","0.5066771406127258","","","","2.56"
"00983","","0.5279381443298969","","","","2.67"
"00985","","0.5222644886999329","","","","2.6"
"00987","","0.5757840264355634","","","","2.8"
"01001","0.2324564031881105","0.6523319200484555","0.2955305091333074","0.17240575204041975","30044.0","2.37"
"01002","0.5479804161566707","0.581081081081081","0.12304452466907341","0.24293020457280384","13418.0","2.58"
"01003","","","","","3313.0","3.76"
"01005","0.14371019108280256","0.6839237057220708","0.4068925571966406","0.13987836663770634","31796.0","2.77"
"01007","0.1979131377464598","0.7125762023030029","0.23304013749873623","0.2278839348903043","34169.0","2.59"
"01008","0.05912596401028278","","","","36379.0","2.32"
"01009","","","","","18807.0","2.33"
"01010","0.15221527589018755","0.6477272727272727","0.1915680473372781","0.2533284023668639","","2.49"
"01011","0.13577732518669383","","0.43498596819457436","0.11599625818521983","","2.71"
"01012","","","","","29881.0","2.2"
